序号,区县名称,街道名称,社区名称,类别名,名称（全称）,地址（详细到门牌号）,邮政编码,联系电话,服务项目,服务时间
977,延庆县,康庄镇,,超市,北京红喜鹤超市,北京市延庆县康庄镇兴隆商业街40号,102101,,零售家用电器、化妆品及卫生用品、针、纺织品、服装、鞋帽。,7:40-22:00
978,延庆县,康庄镇,,超市,北京市学友发超市,北京市延庆县康庄镇榆林堡村东200米,102101,61165223,零售预包装食品、散装食品、卷烟、雪茄烟。一般经营范围:零售日用品、针织品、化妆品及卫生用品、文化用品、体育用品、新鲜蔬菜、新鲜水果。,7:40-22:00
979,延庆县,康庄镇,,超市,北京市鑫康隆发超市,北京市延庆县康庄镇三街村兴隆南街16号,102101,,零售预包装食品、散装食品。一般经营范围:零售日用品、新鲜蔬菜、新鲜水果、文化用品、体育用品、化妆品及卫生用品。,7:40-22:00
980,延庆县,百泉街道,湖南社区,超市,永旺商店,公安小区口,102100,69188079,超市,8:00—23:00
981,延庆县,百泉街道,湖南社区,超市,宝丰联华超市,湖南29号楼前,,81196876,超市,8:00—23:00
982,延庆县,百泉街道,湖南社区,超市,乐事田园超市,功德巷1号,,69102374,超市,8:00—23:00
983,延庆县,百泉街道,舜泽园社区,超市,北京喜洋洋鑫顺泽园商店,舜泽园9#,102100,13522897455,商品零售,8:00—21:30
984,延庆县,百泉街道,颍泽洲社区,超市,双信商城第四分公司,颍泽洲小区东侧综合楼,102100,81688398,销售,每日
985,延庆县,百泉街道,燕水佳园社区,超市,燕水佳盈商店,燕水佳园南区东侧门房,102100,81192622,食品、日用品,6：00-21：00
986,延庆县,百泉街道,振兴北社区,超市,北京绿园聚超市,南菜园二区31#8号,102100,13716785156,生活用品、食品、日常用品服务,上午九点至下午九点
987,延庆县,百泉街道,振兴北社区,超市,北京昊天鸿福综合商店,南菜园二区31#10号,102100,13241615318,生活用品、食品、日常用品服务,上午九点至下午九点
988,延庆县,百泉街道,振兴北社区,超市,北京兴源佳美超市,南菜园二区31#6号,102100,13521076068,生活用品、食品、日常用品服务,上午九点至下午九点
989,延庆县,百泉街道,振兴北社区,超市,北京佳禾军友商店,南菜园二区602库房,102100,13716832311,生活用品、食品、日常用品服务,上午九点至下午九点
990,延庆县,百泉街道,振兴北社区,超市,北京市延庆县建昊综合商店,南菜园二区31#2号,102100,61116365,生活用品、食品、日常用品服务,上午九点至下午九点
991,延庆县,百泉街道,振兴北社区,超市,北京夏都好运来综合商店,南菜园二区31#甲8号,102100,13716819882,生活用品、食品、日常用品服务,上午九点至下午九点
992,延庆县,百泉街道,振兴北社区,超市,北京炎德福超市,南菜园二区32#1号,102100,13601238394,生活用品、食品、日常用品服务,上午九点至下午九点
993,延庆县,百泉街道,振兴北社区,超市,北京快顺达综合商店,南菜园二区西门平房,102100,13716099483,生活用品、食品、日常用品服务,上午九点至下午九点
994,延庆县,百泉街道,振兴南社区,超市,北京顺鑫达隆综合商店,26号楼102,102100,61117559,销售食品、日常用品,7:00—22:00
995,东城区,东华门街道,灯市口,超市,天客隆超市,灯市口大街50号,100006,85111193,日用品及副食等等,每日
996,东城区,东华门街道,王府井社区,超市,京客隆超市,校尉胡同8号,100005,65269171,日用品零售,周一至周日
997,东城区,东华门街道,银闸社区,超市,超市北京迪亚天天,北河沿大街143号-2,100006,65282071,便民购物,12小时
998,东城区,东华门街道,正义路社区,超市,华业先达超市,东交民巷30号底商,100006,,提供便民服务,早8:00-晚22:00
999,东城区,东四街道,八条社区,超市,快客便捷超市,北大街241号,100007,64053134,便民,每天
1000,东城区,东四街道,豆瓣社区,超市,顺天府,豆瓣胡同1号楼,,84045893,售货,
1001,东城区,东四街道,二条社区,超市,物美超市,东四北大街乙528号,,84014377,日用百货、米面油盐,8：00-21：00
1002,东城区,东四街道,南门仓社区,超市,北京安赛玛超市,仓南胡同2号楼2-1,100010,86668678,商业零售,9点至20点
1003,东城区,东四街道,七条社区,超市,物美超市,东四北大街303-1号,,64054152,为居民生活提供便利,
1004,东城区,东四街道,五条社区,超市,奥士凯公司,北大街376号,,64025799,工作日,
1005,东城区,东直门街道,东外大街,超市,迪亚天天,春秀路7号楼,100027,,日常用口、食品,9：00-22：00
1006,东城区,东直门街道,东外大街,超市,华丽百佳超市,春秀路17楼北侧,100027,,日常用口、食品,8：30—22：00
1007,东城区,东直门街道,胡家园社区,超市,物美便利店,胡家园21号楼,100027,64650786,食品、百货,早7:00-晚23:00
1008,东城区,东直门街道,清水苑社区,超市,奥士凯连锁超市,东直门北大街2号楼4段西侧,100028,64653698,包装食品、百货烟酒,8:00——20:00
1009,东城区,东直门街道,十字坡社区,超市,北京联华快客新中街店,新中街7号,100027,67350004,食品、日用品,全天
1010,东城区,东直门街道,新中街社区,超市,快客超市,工体北里4号楼下,100027,,零售,每天
1011,东城区,东直门街道,新中西里社区,超市,奥士凯,新中西里26号楼,100027,64175576,各类商品,8：30-21：00
1012,东城区,和平里街道,安德里社区,超市,奥世凯连锁超市,六铺炕11号楼一层,100011,,食品、百货购物,9：00-20：00
1013,东城区,和平里街道,安德里社区,超市,迪亚天天,湖景苑4号楼一层,100011,,食品、百货购物,10：00-18：00
1014,东城区,和平里街道,安德路社区,超市,同日升粮行,安德路47号院1号楼底商,100011,84131696,日用品、粮食、肉食,8：00-20：00
1015,东城区,和平里街道,安德路社区,超市,永昌旺超市,安德路47号院1号楼底商,100011,84129903,方便食品、小商品,8：00-20：00
1016,东城区,和平里街道,安贞苑社,超市,千业隆超市,安定路甲26号楼,100029,64435463,食品、调料、日用百货、蔬菜,周一至周日
1017,东城区,和平里街道,安贞苑社,超市,华欣超市,胜古中路1号,100029,64423415,食品、调料、日用百货,周一至周日
1018,东城区,和平里街道,安贞苑社,超市,顺天府超市,安定路甲30号楼,100029,64442900,食品、调料、日用百货,周一至周日
1019,东城区,和平里街道,二区社区,超市,物美便利店,和平里一区4号楼4单元,100013,,食品、日用品,全天
1020,东城区,和平里街道,化工社区,超市,化工便利店,化工社区南门口,100013,84251590,日常杂货、生活用品、蔬菜水果,
1021,东城区,和平里街道,交通社区,超市,汇通便利店,和平里交林夹道丙2号,100013,64224494,便民,全天
1022,东城区,和平里街道,交通社区,超市,大家超市,和平里交林夹道1号楼平房,100013,64204007,便民,全天
1023,东城区,和平里街道,六铺炕社区,超市,北京皖跃鑫超市,旧鼓楼外大街68号,100120,62382844,食品、日用品、百货,
1024,东城区,和平里街道,六区社区,超市,京客隆超市和平里店,和平里六区8号楼,100013,84226027,蔬菜水果肉日用品副食品食品粮油,8：00-20:00
1025,东城区,和平里街道,民旺社区,超市,迪亚天天超市,民旺园4号楼东侧,100013,64284913,,
1026,东城区,和平里街道,民旺社区,超市,美廉美超市,民旺园30号楼一层,100013,64284913,,
1027,东城区,和平里街道,青年湖社区,超市,鑫龙商场,青年湖东里甲15号楼楼下,100011,84123016,日用百货,早8：00-晚8：30
1028,东城区,和平里街道,上龙社区,超市,超市发超市,安外西营房胡同15号楼,,,,
1029,东城区,和平里街道,五区社区,超市,快客便利店,东城和平里街道三区五号楼底商,100013,8422.6395,食品、日常用品等购物,7：00-23：00
1030,东城区,和平里街道,西河沿社区,超市,华润超级市场有限公司,安外西河沿17号楼首层,100011,84120253,零售日常用品,长期
1031,东城区,和平里街道,西河沿社区,超市,北京联华快客便利超市有限公司,西河沿14号楼一层,100011,84118360,零售日常食品,长期
1032,东城区,和平里街道,西河沿社区,超市,北京七、十一有限公司,地兴居五巷,100011,84882596,零售日常食品,长期
1033,东城区,和平里街道,小黄庄社区,超市,北京华联超市,环球贸易中心E座首层,100011,59575234-8000,零售,每日
1034,东城区,和平里街道,小黄庄社区,超市,朗元超市,兴化路9号,100013,84272453,零售,每日
1035,东城区,和平里街道,新建路社区,超市,美廉美超市,青年湖北街4号,100011,,副食品、日化商品、针织品等,早8：30至晚9：00
1036,东城区,和平里街道,兴化社区,超市,北京联华快客便利超市有限公司蒋宅口店,东城区安外大街5号楼下,100013,64182587,经营食品、日用品等,24小时
1037,东城区,和平里街道,兴化社区,超市,北京港佳好邻居连锁便利店有限责任公司兴化路分店,兴化西里2楼1层南侧,100013,64210829,经营食品、日用品等,24小时
1038,东城区,交道口街道,大兴社区,超市,迪亚天天,交南大街78号,100007,,超市,全天
1039,东城区,交道口街道,鼓楼苑社区,超市,便民超市,方砖厂2号,100009,64017898,便民服务,不定时
1040,东城区,交道口街道,交东社区,超市,北京天客隆集团有限公司交道口店,交东大街113号,100007,,零售食品，日用品,早9:00-晚9:00
1041,东城区,建国门街道,大雅宝社区,超市,上海金年丰华联超市,南小街18号楼南侧底商18-28,100005,65211910,便民服务超市,
1042,东城区,建国门街道,东总布社区,超市,奥士凯银龙超市,东总布胡同19号,100005,,食品、日用品购物,
1043,东城区,建国门街道,干面社区,超市,快客超市,东四南大街249号,100010,65598138,日用百货,全天
1044,东城区,建国门街道,禄米仓社区,超市,迪亚天天超市,16号楼底商,100010,65120941,商品零售,全天
1045,东城区,建国门街道,苏州社区,超市,奥士凯建国店,苏州112号,100005,65241016,便民利民,
1046,东城区,建国门街道,站东社区,超市,屈臣氏恒基店、永辉超市恒基店,建国门内大街18号,100005,,食品、蔬菜水果、副食、生活日用品,10:00——21:00、8:00——21:30
1047,东城区,建国门街道,赵家楼社区,超市,"迪亚天天
世纪家家福
","朝内南小街20楼底商
朝内南小街22楼底商",100005,"65134803
65226135",食品、百货业零售,
1048,东城区,景山街道,景山东街社区,超市,好邻居超市,沙滩北街25号,100009,84030657,日用品，食品零售,24小时
1049,东城区,景山街道,魏家社区,超市,什锦洪法超市,什锦花园胡同23号,100007,64078689,日用品、食品,8：00—21：00
1050,东城区,景山街道,魏家社区,超市,北京兄弟好运超市,大佛寺东街25号,100007,52182234,日用品、食品,8：00—21：00
1051,东城区,景山街道,黄化门社区,超市,北京豫龙涛超市,黄化门大街26-28号,100009,64005994,食品、日杂销售,全日
1052,东城区,龙潭街道,安化楼社区,超市,华润万家便利超市,安化北里18号院4楼底商,100062,67113686,日用百货,全天24小时
1053,东城区,龙潭街道,安化楼社区,超市,迪亚天天便利超市,安化北里18号院4楼底商,100062,67117328,日用百货,全天
1054,东城区,龙潭街道,安化楼社区,超市,景色多服务公司第二经营部,安化南里1楼1门103,100062,67159026,日用百货,全天
1055,东城区,龙潭街道,光明南里社区,超市,华普超市,光明路7号,100061,67140171,食品、日用品供应,8:00-20:00
1056,东城区,龙潭街道,光明南里社区,超市,物美超市,光明中街,100061,67125416,食品、日用品供应,7:00-20:00
1057,东城区,龙潭街道,华城社区,超市,京客隆超市,东城区夕照寺街16号院华城社区4号楼,100061,,超市,周一至周日
1058,东城区,龙潭街道,火桥北里社区,超市,易廉美超市,火桥北里社区6号楼北侧,100061,67182181,零售,
1059,东城区,龙潭街道,绿景苑社区,超市,佳乐康超市,绿景苑6号楼一层,,,,
1060,东城区,龙潭街道,培新街社区,超市,培新街乙五号超市,培新街乙五号3号楼西侧平房,100061,67176170,日用生活用品,每天
1061,东城区,龙潭街道,夕照寺社区,超市,金点利超市,夕照寺西里甲3号,100061,67174154,日用品,早9-晚6点
1062,东城区,龙潭街道,幸福家园社区,超市,诚服天天超市,幸福家园11楼102,100062,67161653,销售包装食品、蔬菜、水果,全天
1063,东城区,龙潭街道,幸福楼社区,超市,物美超市,幸福大街32号-4,100061,67112844,销售日用百货,24小时
1064,东城区,龙潭街道,左安浦园,超市,华润万家超市,左安门内大街89号,100061,87192606,出售商品,24小时
1065,东城区,龙潭街道,左安漪园社区,超市,世纪华联超市,左安门内大街112号,100061,87192373,日用百货、水果、肉制品等,周一至周日9:00-21:00
1066,东城区,体育馆路街道,法华南里社区,超市,首航超市,营房西街25号,100061,,,
1067,东城区,体育馆路街道,葱店社区,超市,幸福超市,葱店西街11号,100062,57165583,,6:30-24:00
1068,东城区,体育馆路街道,葱店社区,超市,便民超市,葱店西街75号,100061,13541501503,,6:30-24:00
1069,东城区,体育馆路街道,东厅社区,超市,迪亚天天超市,广渠门内大街90楼西门底商,100062,13001170015,便民超市,早8:00-晚9:00
1070,东城区,前门街道,前东社区,超市,北京物美便利超市有限公司前门东大街店,前门东大街4号楼及裙房1层,100051,65254423/65120732,零售,周一至周日
1071,东城区,天坛街道,永内东街西里社区,超市,超市发便民店,永内东街西里社区13号,100050,67012478,便民超市,全天
1072,东城区,天坛街道,东里北社区,超市,顺鑫超市,中区5楼下,100061,67012681,生活用品、食品等售卖,周一至周日8：30-17:00
1073,东城区,天坛街道,东晓市社区,超市,华联超市,东晓市大街50号,100062,67029231,为居民提供各种商品零售,8:00-23:00
1074,东城区,天坛街道,金鱼池中区社区,超市,"金鱼池中区社区
市民学校","金鱼池中区社区
地下活动中心",100050,67023463,免费领取书籍,"周一至周五9:00——11:30,
14:00——17:00"
1075,东城区,天坛街道,西里北社区,超市,华普超市,天坛永内大街1号,100050,,零售超市,早9:00—晚9：00
1076,东城区,永外街道,富莱茵社区,超市,世纪家家福,永外沙子口路72-2号,100075,,,9:00-21:00
1077,东城区,永外街道,革新西里社区,超市,世纪家家福超市,西革新里124号一层底商,100077,87242080,超市,8点-23点
1078,东城区,永外街道,管村社区,超市,美廉美超市,永外大街101号,100077,87804198,日常百货、食品,09：00至21：00
1079,东城区,永外街道,景泰社区,超市,北京迪亚首联商贸有限公司,东城区景泰东里1号楼底商,100075,67630100,食品、日用品零售,8：00-21：00
1080,东城区,永外街道,琉璃井社区,超市,鑫升超市,安乐林路71号,100075,,食品、日杂、百货,全天
1081,东城区,永外街道,桃杨路社区,超市,崇文门菜市场物美朝晖店,东城区安乐林路45号,100075,13601353978,食品、日用百货零售,每日8：00--20：00
1082,东城区,永外街道,天天家园社区,超市,联华快客超市,安乐林路50号,100075,87277037,零售,24小时
1083,东城区,永外街道,西革新里社区,超市,迪亚天天超市,马家堡56号,100077,87892498,食品零售,全天
1084,东城区,永外街道,杨家园社区,超市,物美超市,郭庄北里6号楼一层底商,100075,,提供日常生活物品,周一至周日
1085,东城区,永外街道,永铁苑社区,超市,1.北京市冦玉荣百货商店2、永铁苑社区超市,1永铁苑社区4号楼西侧北京市冦玉荣百货商店2永铁苑社区8号楼北侧永铁苑社区超市,100077,,蔬菜百货、部分主食副食,
1086,东城区,安定门街道,分司厅社区,超市,物美超市,安内大街291号,100009,,零售各种生活用品、食物,09:00-21：00
1087,东城区,安定门街道,国子监社区,超市,方家圆综合超市,北京市东城区方家胡同38号,100007,81687360,食品批发、食品零售,8：00-21：00
1088,东城区,安定门街道,五道营社区,超市,迪亚天天超市,东城区安定门大街122号,100007,13811032922’,,9——20点
1089,东城区,安定门街道,北锣社区,超市,便民超市,千福巷3号,100009,64013976,出售家庭日用品,9:00—17:00
1090,东城区,安定门街道,国旺社区,超市,永基百货,赵府街67号,100009,13522362096,日用百货,
1091,东城区,安定门街道,国旺社区,超市,利群百货,中绦胡同甲2号旁,100009,64040653,日用百货,
1092,东城区,安定门街道,花园社区,超市,灵光胡同超市,东城区灵光胡同,100009,,生活用品零售,09：00-21：00
1093,东城区,安定门街道,花园社区,超市,安园梦瑞云便利超市,东城区车辇店胡同11号,100009,81603541,生活用品零售,09：00-21：00
1094,东城区,安定门街道,花园社区,超市,福海庭商店,东城区车辇店胡同23号,100009,64070744,生活用品零售,09：00-21：00
1095,东城区,安定门街道,钟楼湾社区,超市,迪亚超市,张旺胡同4号,100009,,,08:30-19：00
1096,东城区,朝阳门街道,朝西社区,超市,好邻居超市,朝内大街192号,100010,51693507,包装食品,每天
1097,东城区,朝阳门街道,朝内头条,超市,京果佳园,朝内大街131,100010,15110203716,水果零售,7:30-7:00
1098,东城区,朝阳门街道,朝内头条,超市,朝内大街快客便利店,朝内大街115号,100010,84049909,食品零售,24小时
1099,东城区,朝阳门街道,大方家社区,超市,奥世凯超市,南小街12号楼,100010,65128632,便民购物,早8:00—晚20:00
1100,东城区,崇文门外街道,兴隆都市馨园社区,超市,北京佳好邻居超市连锁便利店都市兴隆店,都市馨园8号楼底商8A101,100062,67060051,商品销售,24小时
1101,东城区,崇文门外街道,兴隆都市馨园社区,超市,北京龙吉运昌便利店（一家店）,都市馨园8号楼底商8—7,100062,67025984,商品销售,24小时
1102,东城区,崇文门外街道,国瑞城西区社区,超市,乐天马特超市,国瑞城地下,100062,13051361212,商业服务,白天
1103,东城区,崇文门外街道,国瑞城中区社区,超市,北京物美便利超市有限公司西花市一店,西花市大街47号,100062,67165756,日用百货,12小时
1104,东城区,崇文门外街道,新景东区社区,超市,北京物美便利超市有限公司西花市二店,东城区西花市大街42号,100062,87189762,食品、日用品销售服务,全天
1105,东城区,崇文门外街道,新景东区社区,超市,北京隆昌鸿祥商贸中心,东城区西花市大街2号,100062,87193569,烟酒销售服务,8：00-20：00
1106,东城区,崇文门外街道,新景东区社区,超市,北京京福泰综合超市,东城区南花市大街17号,100062,87187669,烟酒销售服务,8：00-23：00
1107,东城区,崇文门外街道,新景东区社区,超市,天镇县绿泽园食品有限公司北京第一分公司,东城区南花市大街7号,100062,87188039,蔬菜食品销售服务,7：30-21：00
1108,东城区,崇文门外街道,新景东区社区,超市,北京绿源通泰商贸有限公司,东城区南花市大街1号,100062,87193776,有机食品销售服务,8：00-21：00
1109,东城区,崇文门外街道,新景西区社区,超市,顺天府超市21店,西花市大街84号,100062,87187371,超市,
1110,东城区,东花市街道,北里东区社区,超市,华润万家东花市店,东花市北里中区22号楼底商,100062,67169638,商品零售,9：00-20：00
1111,东城区,东花市街道,广渠门外南里社区,超市,世纪华联超市,广渠家园11-1,100022,87719022,卷烟、日用品、包装食品,7:30-24:00
1112,东城区,东花市街道,广渠门外南里社区,超市,北京天天东超市,广渠家园24-1-101,100022,57129785,卷烟、日用品、包装食品,7:00-夜2:00
1113,东城区,东花市街道,南里东区社区,超市,京客隆天骄园便利店,白桥大街8号楼底商,100062,67177213,粮油、百货类销售,周一至周日24小时营业
1114,东城区,东花市街道,南里东区社区,超市,北京天骄园超市,白桥大街8号楼底商,100062,67115402,粮油、百货类销售,周一至周日8:00-20:00
1115,东城区,东花市街道,南里社区,超市,家乐福超市,3区1号楼底商,100062,,副食品，百货，零售,周一至周日
1116,东城区,东花市街道,北里西区社区,超市,迪亚天天,东花市大街53号,100062,67145961,,8时至
1117,东城区,东花市街道,北里西区社区,超市,联华快客便利超市有限公司花市店,东花市大街59号,100062,67170560,,24小时
1118,东城区,东花市街道,北里西区社区,超市,崇东饮料销售中心蟠桃宫便利店,崇东大街8楼底商,100062,67181553,,24小时
1119,东城区,东花市街道,北里西区社区,超市,百福隆商贸有限公司,北里西区6号楼地下,100062,61710314,,8时至20时
1120,东城区,东花市街道,忠实里社区,超市,超市发超市,南街6#楼底商,100022,,食品、日用品,周一至周日
1121,东城区,东花市街道,忠实里社区,超市,爱博发超市,忠实里西区7#楼底商102,100022,,食品、日用品,周一至周日
1122,东城区,北新桥街道,北官厅社区,超市,华欣超市,北小街14号楼,100007,84064698,零售食品、日用品、蔬菜、水果,全天
1123,东城区,北新桥街道,北新仓社区,超市,北京精品华联超市,来福士地下一层,100007,,日用百货、生活用品、副食产品,周一至周日
1124,东城区,北新桥街道,二条社区,超市,宝隆商场,雍和宫大街94号,100007,64046793,便民购物,每周
1125,东城区,北新桥街道,海运仓社区,超市,北京华润超市,东城区北门仓胡同6号楼-9（地下一层）,100007,,送菜、送粮油等项服务,全天
1126,东城区,北新桥街道,海运仓社区,超市,云云顺副食平价超市,东城区北门仓胡同6号楼-13,100007,84070040,送生活日用品、送粮油等项服务,全天
1127,东城区,北新桥街道,海运仓社区,超市,老四平价超市,东城区北门仓胡同6号楼-11,100007,84072946,送生活日用品、送粮油等项服务,全天
1128,东城区,北新桥街道,海运仓社区,超市,繁荣泰平来超市,东城区北门仓胡同6号楼-25,100007,84072845,送生活日用品、送粮油等项服务,全天
1129,东城区,北新桥街道,海运仓社区,超市,华联超市,东城区南小街18号楼,100007,84075069,送菜、送粮油等项服务,全天
1130,东城区,北新桥街道,民安社区,超市,华联超市,北小街22号楼,100007,84075069,百货及食品超市,早8：30-晚8.30
1131,东城区,北新桥街道,十二条社区,超市,迪亚天天,东四北大街167号,100007,64030919,,
1132,东城区,北新桥街道,十二条社区,超市,快客,东四北大街108号,100007,64007541,,
1133,东城区,北新桥街道,十二条社区,超市,好邻居,东四北大街116号,100007,64006441,,
1134,东城区,北新桥街道,十二条社区,超市,奥士凯,东四北大街142号,100007,,,
1135,门头沟区,城子街道,城子西街社区,超市,和客来超市,门头沟区城子街道城子西街7号,102300,,副食零售,全天
1136,门头沟区,城子街道,华新建社区,超市,物美便利店,门头沟区城子街道四局西8号,102300,,商品零售,全日
1137,门头沟区,城子街道,蓝龙家园社区,超市,北京佳服利源商店,门头沟区城子街道蓝龙家园社区1号楼S05,102300,69828177,食品、日常用品零售,9:00-22:00
1138,门头沟区,城子街道,七棵树东街社区,超市,,门头沟区城子街道市场7号、东七76号,102300,69840932,购物,每周一到五
1139,门头沟区,城子街道,西宁路社区,超市,西宁路塔楼超市,门头沟区城子街道西宁路12号,102300,69853089,烟酒、食品零售,全天
1140,门头沟区,城子街道,西宁路社区,超市,格蓝霞飞商店,门头沟区城子街道西宁路12号,102300,61819640,烟酒、食品零售,全天
1141,门头沟区,城子街道,西宁路社区,超市,天顺商店,门头沟区城子街道西宁路12号,102300,51513412,烟酒、食品零售,全天
1142,门头沟区,大台街道,大台社区,超市,物美便利店,大台社区,102303,,日用百货,全天
1143,门头沟区,大台街道,灰地社区,超市,王宝明商店,灰地市场,102304,61871304,烟酒、日用品,全天
1144,门头沟区,大台街道,落坡岭社区,超市,北京市落坡岭连鑫超商店,门头沟大台落坡岭火车站南20米,102302,61851088,日用百货,全天
1145,门头沟区,大台街道,落坡岭社区,超市,北京市落坡岭商店,门头沟区大台新清水涧,102302,61851019,日用百货,全天
1146,门头沟区,大台街道,玉皇庙社区,超市,双龙珠超市,玉皇庙社区大台商店1层,102304,61872032,居民日用百货,7:00—19:00
1147,门头沟区,大峪街道,滨河西区社区,超市,民生加乐超市,滨河路155号1-2层,102300,69842193,零售,9:00-9:00
1148,门头沟区,大峪街道,葡东社区,超市,物美便利店,葡东社区20号楼底商,102308,60803739,烟酒茶糖日用百货,全天
1149,门头沟区,大峪街道,绮霞苑社区,超市,北京玉泉创业科技有限公司玉泉滨河分店,北京市门头沟区绮霞苑1号底商,102300,61867946,零售,早：7点-晚：10点30
1150,门头沟区,大峪街道,桃园社区,超市,桃园福金超市,桃园物业对面小平房,102300,61812125,出售各种小食品、烟酒糖茶,全天
1151,门头沟区,大峪街道,向阳社区,超市,京客隆商业集团股份有限公司小白羊超市,新桥大街80号,102300,69842210,便民商业,全天
1152,门头沟区,大峪街道,向阳社区,超市,物美新隆店,新桥南大街18号,102300,69842091,便民商业,全天
1153,门头沟区,大峪街道,向阳东里社区,超市,鑫维康超市,向阳东里8号楼后平房,102300,,日常用品购买服务,工作日
1154,门头沟区,大峪街道,新桥社区,超市,鑫维康天润达便利店,新桥小区14-1-101号,102300,69828436,方便居民采购日常用品,每天6：00-23：00
1155,门头沟区,大峪街道,新桥西区社区,超市,京客隆黑山店、物美便利店,黑山大街,102300,,为居民提供生活服务,工作时间
1156,门头沟区,大峪街道,永新社区,超市,月季兴菜市场,永新小区9号楼南侧,102300,69866141,各种日用品,8：00-21：00
1157,门头沟区,大峪街道,峪园社区,超市,物美新隆店,峪园小区23号院东,102300,无,居民生活所需用品及食品,每天早9：00-晚9:00
1158,门头沟区,大峪街道,增产路东区社区,超市,河滩物美超市,门头沟路11-1号,102300,69842991,日常百货,全天
1159,门头沟区,大峪街道,承泽苑社区,超市,北京物美京西便利超市有限责任公司物美滨河店,承泽苑1号楼底商,102300,61865711,零售预包装食品、散装食品,全日
1160,门头沟区,大峪街道,德露苑社区,超市,北京得利商店,北京市门头沟区德露苑小区3-5,102300,61861139,零售粮油、食品、日用百货、烟酒糖茶等,07：00-22：00
1161,门头沟区,大峪街道,德露苑社区,超市,北京清溪轩茶庄,北京市门头沟区德露苑小区,102300,61861190,零售食品、冷饮、烟酒糖茶、文体用品等,07：00-23：00
1162,门头沟区,大峪街道,剧场东街社区,超市,小磊商店,剧场东街1-1-103,102300,69863940,日常生活用品,每天
1163,门头沟区,大峪街道,龙门河滩社区,超市,北京邢泽平超市,门头沟区增峪路19号,102300,69820119,零售烟酒、日用品、食品等,8:00-23:00
1164,门头沟区,大峪街道,绿岛家园社区,超市,玉泉连锁超市,剧场东街8号,102300,69823214,百货、食品、主食、蔬菜,每天
1165,门头沟区,大峪街道,南路二社区,超市,昊雅超市,大峪南路35楼前,102300,,提供居民生活物品的需要,每天
1166,门头沟区,东辛房街道,北涧沟社区,超市,滨河楼赵明祥超市商店,滨河楼平房1号,102300,61893442,供应市民所需日常用品,全天
1167,门头沟区,东辛房街道,东辛房社区,超市,长相客商店,东辛房街92号,102300,69832685,烟、酒、包装食品,周一至周日6:00-23:00
1168,门头沟区,东辛房街道,东辛房社区,超市,山悦旺商店,东辛房街1号,102300,13520950562,烟、酒、包装食品,周一至周日6:00-23:00
1169,门头沟区,东辛房街道,河南街社区,超市,河南街矿口物美便利超市,门头沟路62号,102300,69843084,食品、百货、烟酒,早7:00-晚22:00
1170,门头沟区,军庄镇,杨坨社区,超市,军庄兴利超市,军庄派出所旁,102300,60813261,为社区居民提供采购日常用品便利,9-5.30
1171,门头沟区,龙泉镇,东南街社区,超市,北京物美京西便利超市有限公司物美三家店店,门头沟区龙泉镇三家店东街49号,102300,61811078,销售食用油，饮料、包装食品、农副产品、化妆品、日用品等,早7点-晚22点
1172,门头沟区,龙泉镇,东南街社区,超市,三家店振萍超市,门头沟区龙泉镇三家店东街63号,102300,61811685,零售烟酒、包装食品、鲜肉、通讯器材、水产品、文体用品、工艺美术品、家用电器、日用百货、医疗器械,早8-晚9点
1173,门头沟区,龙泉镇,东南街社区,超市,北京兴盛庄商店,门头沟区龙泉镇三家店东街57-2号,102300,61810127,零售、烟、酒、包装副食品、包装食品、饮料、成品粮、成品酒,早8-晚22点
1174,门头沟区,龙泉镇,东南街社区,超市,北京京华雅商店,门头沟区龙泉镇三家店东街59号,102300,69864534,销售食品、饮料、包装食品,早7-晚21点
1175,门头沟区,龙泉镇,梨园社区,超市,北京梨园旺娟超市,门头沟区龙泉镇梨园平房48号,102300,13240986162,烟酒、食品,全天
1176,门头沟区,龙泉镇,梨园社区,超市,北京丁爱婷百货商店,门头沟区龙泉镇梨园平房61号,102300,69838042,烟酒、食品,全天
1177,门头沟区,龙泉镇,梨园社区,超市,北京棋利思百货商店,门头沟区龙泉镇梨园小楼10排1,102300,69860266,烟酒、食品,全天
1178,门头沟区,龙泉镇,梨园社区,超市,北京莫瑞建超市,门头沟区龙泉镇梨园平房39号,102300,13522329385,烟酒、食品,全天
1179,门头沟区,龙泉镇,梨园社区,超市,北京全新时尚店,门头沟区龙泉镇梨园小楼8排1,102300,18703768880,日用品,全天
1180,门头沟区,龙泉镇,梨园社区,超市,北京兴旺商店,门头沟区龙泉镇梨园小楼4排1,102300,13436875560,食品、百货,全天
1181,门头沟区,龙泉镇,梨园社区,超市,伊人感超市,门头沟区龙泉镇梨园小楼14排9,102300,69841017,照相、复印,全天
1182,门头沟区,龙泉镇,梨园社区,超市,美格均泽家店销售,门头沟区龙泉镇梨园楼15排1,102300,69845392,空调安装、日用百货,全天
1183,门头沟区,龙泉镇,琉璃渠社区,超市,社区平价超市,门头沟区龙泉镇琉璃渠后街,102300,61899684,购买物品,全天
1184,门头沟区,龙泉镇,西前街社区,超市,北京通惠利民马志刚商店,门头沟区龙泉镇前街1号,102300,61810161,零售,工作时间
1185,门头沟区,龙泉镇,峪新社区,超市,回龙湾商店,高家园150号,102300,69863896,日用百货,每天8点—21点
